epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5235,1.77656,3.56658,1.69548,0.30022,0.19727,0.25704,0.1358,1.70264,3.13172,1.60712,0.000469896,0.000469896,0.000469896
2,46.6249,1.68361,3.0038,1.67307,0.32874,0.26351,0.20498,0.09192,1.91037,3.19597,1.78198,0.000936862,0.000936862,0.000936862
3,68.4574,1.76795,2.86083,1.74085,0.23441,0.40579,0.23308,0.11728,1.96939,2.93777,1.99151,0.0013944,0.0013944,0.0013944
4,90.2851,1.74184,2.65024,1.72944,0.43717,0.44701,0.30827,0.1476,1.84624,2.52662,1.77044,0.00138656,0.00138656,0.00138656
5,112.11,1.70646,2.43892,1.67553,0.33542,0.40524,0.29803,0.15872,2.01328,2.44065,1.8827,0.00137241,0.00137241,0.00137241
6,134.065,1.71651,2.35262,1.67997,0.35478,0.55833,0.33498,0.18438,1.85889,2.11423,1.7934,0.00135826,0.00135826,0.00135826
7,155.965,1.64987,2.18927,1.63574,0.47207,0.6174,0.50173,0.29524,1.71467,1.97918,1.62791,0.00134412,0.00134412,0.00134412
8,177.717,1.59857,2.14329,1.60716,0.51384,0.48286,0.43276,0.26064,1.76699,1.95358,1.67842,0.00132997,0.00132997,0.00132997
9,199.463,1.63501,2.08787,1.62453,0.37823,0.54443,0.38208,0.21174,1.7546,1.9592,1.70323,0.00131582,0.00131582,0.00131582
10,221.243,1.61016,2.03107,1.59578,0.34923,0.61574,0.46752,0.28345,1.60668,1.84274,1.55647,0.00130168,0.00130168,0.00130168
11,243.079,1.59513,1.99363,1.57734,0.51573,0.65156,0.52373,0.34649,1.56474,1.74537,1.54975,0.00128753,0.00128753,0.00128753
12,264.887,1.51954,1.88413,1.52355,0.54188,0.6171,0.51297,0.30908,1.58632,1.76939,1.53428,0.00127338,0.00127338,0.00127338
13,286.693,1.53532,1.872,1.54089,0.47798,0.53967,0.47867,0.27963,1.66337,1.71578,1.6159,0.00125923,0.00125923,0.00125923
14,308.445,1.51748,1.82787,1.51776,0.41744,0.65589,0.4046,0.2446,1.64056,1.84149,1.60857,0.00124509,0.00124509,0.00124509
15,330.381,1.49284,1.80446,1.49649,0.50488,0.64534,0.49016,0.29008,1.71502,1.89885,1.64842,0.00123094,0.00123094,0.00123094
16,352.486,1.48619,1.75319,1.50383,0.43729,0.59861,0.47836,0.26143,1.75322,1.80967,1.62847,0.00121679,0.00121679,0.00121679
17,374.25,1.48931,1.76627,1.50816,0.42042,0.69674,0.47913,0.26238,1.81929,1.7781,1.72584,0.00120265,0.00120265,0.00120265
18,396.139,1.47752,1.73511,1.50455,0.56551,0.64129,0.50339,0.30683,1.68181,1.75695,1.59772,0.0011885,0.0011885,0.0011885
19,417.916,1.45401,1.69945,1.47802,0.46341,0.63361,0.54347,0.31393,1.72072,1.64572,1.63843,0.00117435,0.00117435,0.00117435
20,439.758,1.45404,1.69337,1.48351,0.66267,0.51785,0.52648,0.35477,1.61149,1.75422,1.59657,0.00116021,0.00116021,0.00116021
21,461.634,1.43926,1.61167,1.46256,0.57742,0.55725,0.53177,0.3072,1.76854,1.68491,1.67637,0.00114606,0.00114606,0.00114606
22,483.532,1.44573,1.61628,1.46817,0.49359,0.66728,0.56604,0.3582,1.59769,1.64335,1.53239,0.00113191,0.00113191,0.00113191
23,505.384,1.43906,1.60879,1.46372,0.67818,0.57201,0.60013,0.38383,1.62472,1.65098,1.57057,0.00111776,0.00111776,0.00111776
24,527.282,1.44103,1.59164,1.45232,0.60992,0.66088,0.62857,0.37431,1.71703,1.56507,1.62465,0.00110362,0.00110362,0.00110362
25,549.311,1.42135,1.5975,1.47275,0.70103,0.57154,0.60089,0.3315,1.80848,1.54778,1.6773,0.00108947,0.00108947,0.00108947
26,571.248,1.40468,1.53479,1.44458,0.68805,0.65174,0.67933,0.43428,1.60684,1.46687,1.50756,0.00107532,0.00107532,0.00107532
27,593.169,1.37001,1.47514,1.42255,0.57407,0.71119,0.65431,0.40942,1.63929,1.50637,1.54626,0.00106118,0.00106118,0.00106118
28,614.989,1.37735,1.44845,1.4247,0.65293,0.58545,0.63205,0.41298,1.55437,1.47608,1.56204,0.00104703,0.00104703,0.00104703
29,636.919,1.35888,1.42372,1.43511,0.68706,0.59673,0.6349,0.37374,1.68722,1.65681,1.58419,0.00103288,0.00103288,0.00103288
30,658.882,1.36035,1.43438,1.41324,0.59423,0.63329,0.60828,0.36192,1.81067,1.66791,1.7015,0.00101873,0.00101873,0.00101873
31,680.76,1.3471,1.41731,1.41545,0.75894,0.60941,0.65272,0.40357,1.67818,1.50851,1.65867,0.00100459,0.00100459,0.00100459
32,702.707,1.37405,1.43576,1.43813,0.52839,0.59247,0.56055,0.36441,1.61249,1.70086,1.58486,0.00099044,0.00099044,0.00099044
33,724.894,1.3406,1.40504,1.40587,0.6115,0.71194,0.68895,0.43904,1.65444,1.42601,1.60795,0.000976293,0.000976293,0.000976293
34,748.568,1.33841,1.31982,1.38552,0.69307,0.53828,0.62305,0.39745,1.71587,1.61843,1.69193,0.000962146,0.000962146,0.000962146
35,771.608,1.33575,1.3728,1.39515,0.59171,0.63928,0.59729,0.38965,1.51755,1.48534,1.5238,0.000947999,0.000947999,0.000947999
36,794.403,1.31506,1.31045,1.37988,0.5844,0.6618,0.64417,0.42759,1.55149,1.49369,1.51576,0.000933851,0.000933851,0.000933851
37,816.172,1.28134,1.26397,1.34783,0.68809,0.67781,0.65355,0.4335,1.58709,1.41765,1.52754,0.000919704,0.000919704,0.000919704
38,838.019,1.30859,1.28864,1.377,0.56938,0.67814,0.63055,0.39981,1.67646,1.39756,1.62936,0.000905557,0.000905557,0.000905557
39,859.883,1.29014,1.27924,1.3517,0.55162,0.71783,0.64474,0.4497,1.54383,1.40308,1.51359,0.00089141,0.00089141,0.00089141
40,881.712,1.27959,1.24303,1.36524,0.53862,0.68966,0.59619,0.38746,1.67757,1.52611,1.70017,0.000877263,0.000877263,0.000877263
41,903.544,1.27514,1.23739,1.35483,0.64728,0.66564,0.64034,0.39988,1.64232,1.42915,1.55072,0.000863116,0.000863116,0.000863116
42,925.604,1.28994,1.23847,1.36244,0.6611,0.56975,0.56487,0.38182,1.5326,1.5454,1.5114,0.000848969,0.000848969,0.000848969
43,947.488,1.29169,1.23748,1.35171,0.72317,0.6298,0.64554,0.43894,1.4854,1.4456,1.48476,0.000834822,0.000834822,0.000834822
44,969.219,1.26203,1.20813,1.34844,0.72442,0.55082,0.62686,0.41636,1.59906,1.53502,1.56749,0.000820675,0.000820675,0.000820675
45,991.105,1.26251,1.2035,1.3449,0.76935,0.60769,0.67833,0.45858,1.55119,1.4011,1.53394,0.000806528,0.000806528,0.000806528
46,1012.89,1.23606,1.15022,1.31813,0.64096,0.59529,0.60701,0.42361,1.51845,1.43359,1.54224,0.00079238,0.00079238,0.00079238
47,1035.6,1.2521,1.15293,1.33393,0.68541,0.66509,0.64928,0.43614,1.54833,1.36768,1.55009,0.000778233,0.000778233,0.000778233
48,1058.69,1.22988,1.13653,1.309,0.72061,0.56723,0.62591,0.39412,1.6812,1.43765,1.60021,0.000764086,0.000764086,0.000764086
49,1082.21,1.2172,1.13251,1.31077,0.71273,0.59674,0.65665,0.40554,1.78217,1.37369,1.68088,0.000749939,0.000749939,0.000749939
50,1105.34,1.20894,1.1195,1.30222,0.57017,0.69105,0.65169,0.43955,1.51604,1.48419,1.54305,0.000735792,0.000735792,0.000735792
51,1128.52,1.20787,1.11147,1.3044,0.72182,0.58532,0.6298,0.40402,1.66619,1.49914,1.62652,0.000721645,0.000721645,0.000721645
52,1152.16,1.17125,1.08429,1.29687,0.68978,0.65514,0.63851,0.43433,1.59246,1.43656,1.56492,0.000707498,0.000707498,0.000707498
53,1175.12,1.18112,1.08804,1.28989,0.71521,0.58964,0.63729,0.44983,1.53206,1.57283,1.54006,0.000693351,0.000693351,0.000693351
54,1198.6,1.14183,1.05665,1.25374,0.61714,0.61288,0.58883,0.40738,1.58632,1.6899,1.52327,0.000679204,0.000679204,0.000679204
55,1221.55,1.17143,1.04953,1.27592,0.71155,0.62474,0.64548,0.44438,1.55537,1.45429,1.56537,0.000665057,0.000665057,0.000665057
56,1245.06,1.16096,1.06439,1.27277,0.65234,0.54951,0.58722,0.41178,1.48469,1.61509,1.50865,0.000650909,0.000650909,0.000650909
57,1268.02,1.1522,1.05613,1.2817,0.66324,0.59174,0.60132,0.41644,1.56226,1.45861,1.56123,0.000636762,0.000636762,0.000636762
58,1291.68,1.15539,1.022,1.25833,0.6797,0.6266,0.61638,0.434,1.6192,1.60419,1.60863,0.000622615,0.000622615,0.000622615
59,1314.63,1.13142,1.02548,1.25875,0.68728,0.67451,0.64399,0.44605,1.56623,1.49326,1.54525,0.000608468,0.000608468,0.000608468
60,1338.12,1.14175,1.00445,1.26745,0.65571,0.50087,0.56208,0.39766,1.48739,1.63374,1.50192,0.000594321,0.000594321,0.000594321
61,1361.41,1.14029,1.00659,1.25758,0.68343,0.63735,0.66799,0.45901,1.5156,1.49432,1.50378,0.000580174,0.000580174,0.000580174
62,1384.52,1.11563,0.97398,1.23791,0.63502,0.56578,0.59844,0.4224,1.49503,1.66028,1.49869,0.000566027,0.000566027,0.000566027
63,1407.99,1.10734,0.99629,1.24478,0.74438,0.53701,0.58987,0.41445,1.58294,1.57633,1.6224,0.00055188,0.00055188,0.00055188
64,1430.89,1.08814,0.9665,1.23705,0.66827,0.65836,0.66965,0.46836,1.60731,1.52583,1.60662,0.000537733,0.000537733,0.000537733
65,1454.36,1.08527,0.96316,1.2299,0.6071,0.66869,0.67342,0.46645,1.60363,1.40425,1.6183,0.000523586,0.000523586,0.000523586
66,1477.29,1.08358,0.95016,1.22886,0.69133,0.61072,0.66249,0.46192,1.57177,1.46606,1.5697,0.000509438,0.000509438,0.000509438
67,1500.68,1.06587,0.93301,1.21486,0.62091,0.66366,0.63294,0.42498,1.67766,1.60818,1.65637,0.000495291,0.000495291,0.000495291
68,1523.56,1.08252,0.92165,1.22779,0.71567,0.64844,0.64788,0.46641,1.50882,1.40422,1.57045,0.000481144,0.000481144,0.000481144
69,1547.18,1.055,0.91207,1.20297,0.65678,0.66118,0.64525,0.45949,1.57611,1.47137,1.58591,0.000466997,0.000466997,0.000466997
70,1570.29,1.07312,0.92015,1.21111,0.70806,0.65862,0.674,0.47094,1.58222,1.37071,1.63179,0.00045285,0.00045285,0.00045285
71,1593.6,1.04364,0.89633,1.1866,0.68231,0.64546,0.63467,0.44661,1.59415,1.59165,1.61198,0.000438703,0.000438703,0.000438703
72,1616.82,1.02079,0.89858,1.19669,0.64359,0.6926,0.65361,0.47402,1.54208,1.46872,1.58653,0.000424556,0.000424556,0.000424556
73,1640.11,1.02101,0.88595,1.18317,0.68491,0.65392,0.65309,0.46256,1.56097,1.53087,1.60497,0.000410409,0.000410409,0.000410409
74,1663.68,1.03403,0.88967,1.19203,0.64489,0.65978,0.62742,0.45257,1.50447,1.54685,1.56249,0.000396262,0.000396262,0.000396262
75,1686.67,1.02374,0.86746,1.19701,0.65912,0.62149,0.65183,0.45194,1.5443,1.46725,1.57692,0.000382115,0.000382115,0.000382115
76,1710.29,1.01205,0.85145,1.17707,0.63517,0.60315,0.63759,0.46555,1.4827,1.5473,1.56043,0.000367967,0.000367967,0.000367967
77,1733.39,0.97294,0.80978,1.15942,0.63345,0.64798,0.64933,0.47069,1.50053,1.52264,1.59782,0.00035382,0.00035382,0.00035382
78,1756.99,1.01716,0.82109,1.19034,0.75541,0.62612,0.66548,0.4578,1.60189,1.57692,1.64509,0.000339673,0.000339673,0.000339673
79,1780.09,1.01974,0.84755,1.18605,0.72644,0.60799,0.65824,0.4684,1.59037,1.4899,1.68083,0.000325526,0.000325526,0.000325526
80,1803.92,0.97857,0.8118,1.1572,0.71902,0.61738,0.65353,0.48138,1.55023,1.52704,1.65382,0.000311379,0.000311379,0.000311379
81,1826.99,0.9916,0.82518,1.15948,0.67272,0.62985,0.6603,0.47587,1.5009,1.50191,1.55054,0.000297232,0.000297232,0.000297232
82,1850.51,0.98498,0.82921,1.17152,0.68278,0.66333,0.65747,0.48559,1.57255,1.53809,1.65766,0.000283085,0.000283085,0.000283085
83,1873.65,0.96933,0.81246,1.15205,0.67664,0.6122,0.644,0.46224,1.55302,1.56026,1.61335,0.000268938,0.000268938,0.000268938
84,1896.94,0.97273,0.80226,1.16428,0.72724,0.60662,0.66424,0.48548,1.49611,1.57326,1.55169,0.000254791,0.000254791,0.000254791
85,1920.41,0.95722,0.77849,1.15494,0.70005,0.65898,0.68367,0.49125,1.52885,1.4827,1.57599,0.000240644,0.000240644,0.000240644
86,1943.52,0.98127,0.80232,1.16453,0.65449,0.66881,0.65623,0.47188,1.54311,1.56183,1.57119,0.000226497,0.000226497,0.000226497
87,1966.99,0.9645,0.78632,1.14935,0.68991,0.62942,0.63807,0.46726,1.55529,1.54285,1.62124,0.000212349,0.000212349,0.000212349
88,1989.99,0.92089,0.7477,1.1373,0.76671,0.60662,0.66267,0.46905,1.58768,1.47782,1.67076,0.000198202,0.000198202,0.000198202
89,2013.73,0.92374,0.74762,1.13511,0.74593,0.59627,0.65312,0.48314,1.51136,1.45982,1.61797,0.000184055,0.000184055,0.000184055
90,2036.82,0.9455,0.76861,1.14942,0.75085,0.64366,0.67251,0.49563,1.49993,1.38825,1.61458,0.000169908,0.000169908,0.000169908
91,2060.68,0.8165,0.56367,1.06611,0.66956,0.6096,0.62184,0.45362,1.51981,1.46588,1.61278,0.000155761,0.000155761,0.000155761
92,2082.84,0.80236,0.52758,1.06579,0.71612,0.60201,0.65801,0.48179,1.51749,1.41388,1.63868,0.000141614,0.000141614,0.000141614
93,2105.23,0.79814,0.52819,1.05068,0.67053,0.66217,0.63974,0.47206,1.50809,1.40919,1.6263,0.000127467,0.000127467,0.000127467
94,2127.81,0.76173,0.49105,1.02506,0.71061,0.6299,0.65853,0.49311,1.49016,1.55481,1.58159,0.00011332,0.00011332,0.00011332
95,2150.02,0.76079,0.49155,1.03236,0.69273,0.65729,0.65211,0.48769,1.50061,1.50279,1.59158,9.91726e-05,9.91726e-05,9.91726e-05
96,2172.7,0.75472,0.47448,1.0248,0.72347,0.65583,0.6705,0.50309,1.44804,1.44789,1.5635,8.50255e-05,8.50255e-05,8.50255e-05
97,2194.87,0.76451,0.48641,1.03217,0.73273,0.62241,0.65943,0.49026,1.45122,1.46134,1.57365,7.08784e-05,7.08784e-05,7.08784e-05
98,2217.34,0.73644,0.47979,1.02207,0.78342,0.58157,0.65409,0.48504,1.50757,1.437,1.63875,5.67313e-05,5.67313e-05,5.67313e-05
99,2239.67,0.75203,0.48536,1.02663,0.73494,0.61873,0.65513,0.48307,1.5082,1.42739,1.63006,4.25842e-05,4.25842e-05,4.25842e-05
100,2261.85,0.74788,0.46463,1.02657,0.72474,0.60293,0.65699,0.48646,1.51638,1.4461,1.63585,2.84371e-05,2.84371e-05,2.84371e-05
